,rho_0,xi,gamma,log10(zeta),num_stiff,material,eig_FEA,eig_CF,time
0,7.388991,0.999920,0.105180,-3.418658,1,metal,5.592165,5.705351,21.111822
0,5.986281,0.999920,0.105181,-3.418658,1,metal,5.612660,5.705351,20.182662
0,4.849845,0.999920,0.105180,-3.418658,1,metal,5.668951,5.705351,21.073651
0,3.929150,0.999920,0.105180,-3.418658,1,metal,5.741052,5.705351,18.751183
0,3.183244,0.999920,0.105180,-3.418658,1,metal,5.895325,5.705351,15.036832
0,2.578913,0.999920,0.105172,-3.418658,1,metal,6.098721,5.705348,16.270200
0,2.089278,0.999920,0.105173,-3.418658,1,metal,6.584305,5.705348,14.307020
0,1.692679,0.999920,0.105172,-3.418658,1,metal,6.868108,5.705348,14.520362
0,1.371335,0.999920,0.105180,-3.418658,1,metal,7.511939,5.705351,21.539083
0,1.111003,0.999920,0.105173,-3.418658,1,metal,8.781289,5.705348,16.526462
0,0.900088,0.999920,0.105173,-3.418658,1,metal,11.059816,7.042264,15.106246
0,0.729216,0.999920,0.105180,-3.418658,1,metal,14.921100,10.729257,13.892026
0,0.590779,0.999920,0.105172,-3.418658,1,metal,21.219972,16.346749,15.456190
0,0.478634,0.999920,0.105173,-3.418658,1,metal,30.858775,24.904323,14.115396
0,0.387760,0.999920,0.105172,-3.418658,1,metal,43.869891,37.945085,14.953939
0,0.314145,0.999920,0.105180,-3.418658,1,metal,61.608178,57.812570,14.260162
0,0.254508,0.999756,0.105177,-3.418658,3,metal,90.708439,88.075465,60.270114
0,0.206192,0.999756,0.105177,-3.418658,3,metal,134.484578,134.188513,28.592139
0,0.167048,0.999756,0.105177,-3.418658,3,metal,193.711476,204.444611,27.173983
0,7.388993,0.998290,0.525349,-2.354828,1,metal,5.581092,5.880634,16.521538
0,5.986297,0.998290,0.525348,-2.354828,1,metal,5.588775,5.880633,16.194436
0,4.849847,0.998290,0.525348,-2.354828,1,metal,5.646233,5.880634,14.163667
0,3.929144,0.998290,0.525348,-2.354828,1,metal,5.726201,5.880633,14.901655
0,3.183243,0.998290,0.525349,-2.354828,1,metal,5.846418,5.880634,14.919295
0,2.578922,0.998290,0.525348,-2.354828,1,metal,6.092388,5.880634,16.704741
0,2.089073,0.998290,0.525349,-2.354828,1,metal,6.521529,5.880634,16.462749
0,1.692587,0.998290,0.525356,-2.354828,1,metal,6.818262,5.880637,14.171340
0,1.371341,0.998290,0.525347,-2.354828,1,metal,7.510998,5.880633,14.928786
0,1.111003,0.998290,0.525348,-2.354828,1,metal,8.860371,5.880634,14.873781
0,0.900088,0.998290,0.525348,-2.354828,1,metal,11.198911,7.258625,16.087958
0,0.729213,0.998290,0.525347,-2.354828,1,metal,14.995736,11.058984,14.487074
0,0.590811,0.998290,0.525357,-2.354828,1,metal,20.818096,16.847164,13.320934
0,0.478677,0.998290,0.525350,-2.354828,1,metal,54.139085,25.664826,13.408693
0,0.387759,0.998290,0.525348,-2.354828,1,metal,37.870246,39.111162,27.418730
0,0.314145,0.998290,0.525349,-2.354828,1,metal,49.161064,59.588675,28.298779
0,7.389054,0.995494,1.105272,-2.715627,1,metal,5.857572,6.089511,14.583197
0,5.986297,0.995494,1.105272,-2.715627,1,metal,5.872452,6.089511,14.809461
0,4.849847,0.995494,1.105272,-2.715627,1,metal,5.934337,6.089511,15.412905
0,3.929142,0.995494,1.105272,-2.715627,1,metal,6.092023,6.089511,14.131087
0,3.183315,0.995494,1.105289,-2.715627,1,metal,6.189403,6.089517,14.608050
0,2.578922,0.995494,1.105272,-2.715627,1,metal,6.583620,6.089511,17.767843
0,2.089277,0.995494,1.105272,-2.715627,1,metal,6.930603,6.089511,13.842512
0,1.692665,0.995494,1.105275,-2.715627,1,metal,7.360947,6.089512,13.496393
0,1.371311,0.995494,1.105288,-2.715627,1,metal,8.347957,6.089516,14.562442
0,1.111002,0.995494,1.105275,-2.715627,1,metal,10.178122,6.089512,13.381747
0,0.900088,0.995494,1.105272,-2.715627,1,metal,13.247465,7.516449,14.396447
0,0.729214,0.985724,1.105273,-2.715627,2,metal,20.982835,11.421127,41.617885
0,0.590810,0.981856,1.105345,-2.715627,3,metal,28.677940,17.380514,42.220683
0,0.478664,0.981857,1.105291,-2.715627,3,metal,37.699290,26.478608,26.341889
0,0.387727,0.985723,1.105318,-2.715627,3,metal,47.899294,40.398810,25.237706
0,7.388993,0.996365,1.905687,-4.616559,1,metal,6.511755,6.342908,15.889306
0,5.986201,0.996365,1.905723,-4.616559,1,metal,6.545463,6.342919,16.357565
0,4.849847,0.996365,1.905678,-4.616559,1,metal,6.591021,6.342906,15.592414
0,3.929181,0.996365,1.905723,-4.616559,1,metal,6.723371,6.342919,15.074719
0,3.183315,0.996365,1.905724,-4.616559,1,metal,6.965032,6.342919,14.094381
0,2.578923,0.996365,1.905679,-4.616559,1,metal,7.517468,6.342906,14.317139
0,2.089278,0.996365,1.905679,-4.616559,1,metal,7.732294,6.342906,13.693621
0,1.692586,0.996365,1.905722,-4.616559,1,metal,8.493762,6.342919,13.805246
0,1.371311,0.996365,1.905723,-4.616559,1,metal,10.080621,6.342919,14.423029
0,1.111003,0.997454,0.908121,-4.616559,1,metal,13.192587,6.023673,42.373600
0,0.900089,0.997455,0.908108,-4.616559,1,metal,18.444815,7.435162,44.812641
0,0.729213,0.984744,1.737891,-4.616559,4,metal,34.904236,11.800621,108.248924
0,0.590784,0.979830,1.905301,-4.616559,5,metal,49.909698,18.098775,49.067177
0,0.478664,0.979830,1.905302,-4.616559,5,metal,70.389944,27.570584,33.280441
0,0.387753,0.979830,1.905298,-4.616559,5,metal,99.636080,42.014263,28.309924
0,0.314145,0.977487,1.905585,-4.616559,6,metal,141.398620,63.973632,48.102573
0,0.254506,0.977494,1.905208,-4.616559,6,metal,188.484589,97.467298,27.354852
0,0.206192,0.977486,1.905660,-4.616559,6,metal,248.833864,148.497211,26.870723
0,0.167049,0.977487,1.905586,-4.616559,6,metal,351.502512,226.243070,26.461563
0,0.135335,0.973288,1.905676,-4.616559,8,metal,524.510042,344.340127,51.067751
0,7.389043,0.991423,3.010392,-4.335950,1,metal,6.683718,6.628590,17.937399
